nombre,foto,pelis
Ray Winstone,https://media.themoviedb.org/t/p/w235_and_h235_face/kDShEv6zPfArgcwXliGWKR65Mmo.jpg,"Beowulf, Infiltrados y Noé"
Amy Smart,https://media.themoviedb.org/t/p/w235_and_h235_face/cGbVgcBDYeSqNWUrwCUKZZbVMje.jpg,"El efecto mariposa, Crank: Veneno En La Sangre y Crank: Alto Voltaje"
Mark Wahlberg,https://media.themoviedb.org/t/p/w235_and_h235_face/bTEFpaWd7A6AZVWOqKKBWzKEUe8.jpg,"Ted, Transformers: La Era de la Extinción y Ted 2"
Kristen Bell,https://media.themoviedb.org/t/p/w235_and_h235_face/rP74dJXl7EjinGM0shQtUOlH5s2.jpg,"Frozen: El reino del hielo, Frozen 2 y Malas madres"
Brie Larson,https://media.themoviedb.org/t/p/w235_and_h235_face/xSGvMwNNJcEQvVcjiIUTyxyMfkZ.jpg,"Capitana Marvel, La habitación y Infiltrados en clase"
Naomi Watts,https://media.themoviedb.org/t/p/w235_and_h235_face/k6l8BWX1yqfGt95enzEkHoPvON4.jpg,"King Kong, Lo imposible y The Ring (La señal)"
Johnny Depp,https://media.themoviedb.org/t/p/w235_and_h235_face/z4wuEcnTW4hlICMYPGn5W8bK2zh.jpg,"Piratas del Caribe: La maldición de la Perla Negra, Piratas del Caribe: El cofre del hombre muerto y Charlie y la fábrica de chocolate"
Keira Knightley,https://media.themoviedb.org/t/p/w235_and_h235_face/bRC1B2VwV0wK3ElciFAK6QZf2wD.jpg,"The Imitation Game (Descifrando Enigma), Orgullo y prejuicio y Piratas del Caribe: La maldición de la Perla Negra"
Angourie Rice,https://media.themoviedb.org/t/p/w235_and_h235_face/bL3TL4beXOxXlnpUP5N4tEQ2lJJ.jpg,"Dos Buenos Tipos, Cada día y Spider-Man. Lejos de casa"
Emma Thompson,https://media.themoviedb.org/t/p/w235_and_h235_face/xr8Ki3CIqweWWqS5q0kUYdiK6oQ.jpg,"Indomable, Cruella y Al encuentro de Mr. Banks"
Arielle Kebbel,https://media.themoviedb.org/t/p/w235_and_h235_face/dmYiAeWoeVsRdT4UBBGuW9gBfjQ.jpg,"American Pie presenta: Band Camp, Presencias extrañas y Cincuenta sombras liberadas"
Christopher Nolan,https://media.themoviedb.org/t/p/w235_and_h235_face/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,"Origen, Interstellar y El caballero oscuro"
James Brolin,https://media.themoviedb.org/t/p/w235_and_h235_face/j5DCjshDWSv4nMJdWyXWCmRmROU.jpg,"Atrápame si puedes, Terror en Amityville y Lightyear"
Anya Taylor-Joy,https://media.themoviedb.org/t/p/w235_and_h235_face/l4iCvDhSpF16KnXX7xJpjSmkWhu.jpg,"Múltiple, La Bruja y El menú"
Yuka Kouri,https://media.themoviedb.org/t/p/w235_and_h235_face/uTKvkl3BYeiIPUvKfdL3QDaeM5.jpg,"Strobe Edge, Kami no Kiba -JINGA- y Koisaika Miyamoto"
Daniel Craig,https://media.themoviedb.org/t/p/w235_and_h235_face/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg,"Skyfall, Puñales por la espalda y Casino Royale"
Tom Hardy,https://media.themoviedb.org/t/p/w235_and_h235_face/d81K0RH8UX7tZj49tZaQhZ9ewH.jpg,"Mad Max: Furia en la carretera, Venom y Venom: habrá matanza"
Javier Bardem,https://media.themoviedb.org/t/p/w235_and_h235_face/IShnFg6ijWhpbu29dFBd9PtqQg.jpg,"Piratas del Caribe: La venganza de Salazar, No es país para viejos y Skyfall"
Cole Hauser,https://media.themoviedb.org/t/p/w235_and_h235_face/kJyUtNZREd7mes21OrWiCtOugPL.jpg,"2 Fast 2 Furious: A todo gas 2, El indomable Will Hunting y Pitch Black"
Christina Ricci,https://media.themoviedb.org/t/p/w235_and_h235_face/dzB58d6fNrTEi7nBAU1tySJc2at.jpg,"Casper, Sleepy Hollow y Penélope"
Amber Heard,https://media.themoviedb.org/t/p/w235_and_h235_face/cIbuK91Da9QS2gh43018CmRnx96.jpg,"Aquaman, Bienvenidos a Zombieland y Encerrada (The Ward)"
Marisa Tomei,https://media.themoviedb.org/t/p/w235_and_h235_face/5w6qM8FWsl5SutKSpx6Va64eCTE.jpg,"Spider-Man. Homecoming, Spider-Man. Lejos de casa y Spider-Man: No Way Home"
Forest Whitaker,https://media.themoviedb.org/t/p/w235_and_h235_face/1GbfuDitXDBmNmXEKk2rGEXiEXE.jpg,"La llegada, El mayordomo y V3nganza"
Sam Elliott,https://media.themoviedb.org/t/p/w235_and_h235_face/1K2IvGXFbKsgkExuUsRvy4F0c9e.jpg,"Ha nacido una estrella, Ghost Rider: El motorista fantasma y Hulk"
Matthew McConaughey,https://media.themoviedb.org/t/p/w235_and_h235_face/e9ZHRY5toiBZCIPEEyvOG9A8ers.jpg,"Interstellar, Dallas Buyers Club y ¡Canta!"
